Time,C6_avg,psi6,V,S-2,S-1,S0
239.9999,2.5,0.05268,2.0,0.0,0.0,0.0
269.9999,2.41333,0.13038,2.0,0.0,0.0,0.0
289.9999,2.46667,0.07986,2.0,0.0,0.0,0.0
299.9999,2.56667,0.14705,2.0,0.0,0.0,0.0
339.9999,2.58667,0.0567,2.0,0.0,0.0,0.0
349.9999,2.5,0.09414,2.0,0.0,0.0,0.0
359.9999,2.58667,0.03688,2.0,0.0,0.0,0.0
379.9999,2.55333,0.03074,2.0,0.0,0.0,0.0
389.9999,2.53333,0.04074,2.0,0.0,0.0,0.0
409.9999,2.52,0.10958,2.0,0.0,0.0,0.0
429.9999,2.68,0.060979999999999986,2.0,0.0,0.0,0.0
439.9999,2.78,0.04141,2.0,0.0,0.0,0.0
449.9999,2.79333,0.04549,2.0,0.0,0.0,0.0
459.9999,2.65333,0.03039,2.0,0.0,0.0,0.0
479.9999,2.76,0.04608,2.0,0.0,0.0,0.0
489.9999,2.76667,0.0349,2.0,0.0,0.0,0.0
519.9999,2.75333,0.12354,2.0,0.0,0.0,0.0
529.9999,2.63333,0.08477,2.0,0.0,0.0,0.0
569.9999,2.81333,0.11242,2.0,0.0,0.0,0.0
579.9999,2.82,0.06635,2.0,0.0,0.0,0.0
589.9999,2.68667,0.09332,2.0,0.0,0.0,0.0
599.9999,2.63333,0.0464,2.0,0.0,0.0,0.0
609.9999,2.54667,0.023180000000000003,2.0,0.0,0.0,0.0
629.9999,2.55333,0.12908,2.0,0.0,0.0,0.0
649.9999,2.91333,0.05715,2.0,0.0,0.0,0.0
659.9999,2.72667,0.07115,2.0,0.0,0.0,0.0
669.9999,2.79333,0.06773,2.0,0.0,0.0,0.0
679.9999,2.81333,0.08674,2.0,0.0,0.0,0.0
689.9999,2.71333,0.1093,2.0,0.0,0.0,0.0
699.9999,2.67333,0.11837,2.0,0.0,0.0,0.0
709.9999,2.94,0.09474,2.0,0.0,0.0,0.0
719.9999,2.75333,0.05741,2.0,0.0,0.0,0.0
769.9999,2.96667,0.08362,2.0,0.0,0.0,0.0
789.9999,2.88,0.10244,2.0,0.0,0.0,0.0
799.9999,2.8,0.04483,2.0,0.0,0.0,0.0
829.9999,2.80667,0.10048,2.0,0.0,0.0,0.0
849.9999,2.80667,0.09439,2.0,0.0,0.0,0.0
869.9999,2.75333,0.08162,2.0,0.0,0.0,0.0
899.9999,2.82667,0.05933,2.0,0.0,0.0,0.0
99.9999,2.48,0.02614,2.0,0.0,0.0,0.0
119.9999,2.58667,0.06832,2.0,0.0,0.0,0.0
129.9999,2.68,0.05593,2.0,0.0,0.0,0.0
139.9999,2.52,0.08607999999999999,2.0,0.0,0.0,0.0
149.9999,2.74667,0.10859,2.0,0.0,0.0,0.0
159.9999,2.7,0.06621,2.0,0.0,0.0,0.0
169.9999,2.87333,0.10745,2.0,0.0,0.0,0.0
179.9999,2.66,0.03476,2.0,0.0,0.0,0.0
199.9999,2.66,0.08539,2.0,0.0,0.0,0.0
209.9999,2.80667,0.09014,2.0,0.0,0.0,0.0
219.9999,2.78,0.07342,2.0,0.0,0.0,0.0
259.9999,2.98,0.11407,2.0,0.0,0.0,0.0
269.9999,3.04,0.09098,2.0,0.0,0.0,0.0
279.9999,3.07333,0.16130999999999998,2.0,0.0,0.0,0.0
299.9999,3.01333,0.17343,2.0,0.0,0.0,0.0
309.9999,3.14667,0.21949,2.0,0.0,0.0,0.0
339.9999,3.05333,0.24557,2.0,0.0,0.0,0.0
349.9999,3.1266700000000003,0.14859,2.0,0.0,0.0,0.0
359.9999,3.06667,0.18312,2.0,0.0,0.0,0.0
369.9999,3.11333,0.1645,2.0,0.0,0.0,0.0
399.9999,3.05333,0.15322,2.0,0.0,0.0,0.0
419.9999,2.96,0.04375,2.0,0.0,0.0,0.0
429.9999,3.16,0.07134,2.0,0.0,0.0,0.0
439.9999,3.03333,0.05349,2.0,0.0,0.0,0.0
