Time,C6_avg,psi6,V,S-4,S-3,S-2,S-1,S0
839.9999,2.66,0.08769,2.0,0.0,0.0,0.0,0.0,0.0
849.9999,2.76,0.09793,2.0,0.0,0.0,0.0,0.0,0.0
859.9999,2.64,0.11663,2.0,0.0,0.0,0.0,0.0,0.0
869.9999,2.89333,0.10666,2.0,0.0,0.0,0.0,0.0,0.0
879.9999,2.72667,0.09151,2.0,0.0,0.0,0.0,0.0,0.0
889.9999,2.76667,0.03357,2.0,0.0,0.0,0.0,0.0,0.0
899.9999,2.85333,0.035660000000000004,2.0,0.0,0.0,0.0,0.0,0.0
299.9999,2.56667,0.14705,2.0,0.0,0.0,0.0,0.0,0.0
309.9999,2.53333,0.12168,2.0,0.0,0.0,0.0,0.0,0.0
319.9999,2.68667,0.03949,2.0,0.0,0.0,0.0,0.0,0.0
329.9999,2.74667,0.04664,2.0,0.0,0.0,0.0,0.0,0.0
339.9999,2.58667,0.0567,2.0,0.0,0.0,0.0,0.0,0.0
349.9999,2.5,0.09414,2.0,0.0,0.0,0.0,0.0,0.0
359.9999,2.58667,0.03688,2.0,0.0,0.0,0.0,0.0,0.0
369.9999,2.64667,0.12772999999999998,2.0,0.0,0.0,0.0,0.0,0.0
379.9999,2.55333,0.03074,2.0,0.0,0.0,0.0,0.0,0.0
389.9999,2.53333,0.04074,2.0,0.0,0.0,0.0,0.0,0.0
399.9999,2.48667,0.05406,2.0,0.0,0.0,0.0,0.0,0.0
409.9999,2.52,0.10958,2.0,0.0,0.0,0.0,0.0,0.0
419.9999,2.50667,0.06075,2.0,0.0,0.0,0.0,0.0,0.0
429.9999,2.68,0.060979999999999986,2.0,0.0,0.0,0.0,0.0,0.0
439.9999,2.78,0.04141,2.0,0.0,0.0,0.0,0.0,0.0
449.9999,2.79333,0.04549,2.0,0.0,0.0,0.0,0.0,0.0
459.9999,2.65333,0.03039,2.0,0.0,0.0,0.0,0.0,0.0
469.9999,2.83333,0.05476,2.0,0.0,0.0,0.0,0.0,0.0
479.9999,2.76,0.04608,2.0,0.0,0.0,0.0,0.0,0.0
489.9999,2.76667,0.0349,2.0,0.0,0.0,0.0,0.0,0.0
499.9999,2.71333,0.01381,2.0,0.0,0.0,0.0,0.0,0.0
509.9999,2.77333,0.09584,2.0,0.0,0.0,0.0,0.0,0.0
519.9999,2.75333,0.12354,2.0,0.0,0.0,0.0,0.0,0.0
529.9999,2.63333,0.08477,2.0,0.0,0.0,0.0,0.0,0.0
539.9999,2.6,0.07829,2.0,0.0,0.0,0.0,0.0,0.0
549.9999,2.73333,0.07165,2.0,0.0,0.0,0.0,0.0,0.0
559.9999,3.03333,0.09897,2.0,0.0,0.0,0.0,0.0,0.0
569.9999,2.81333,0.11242,2.0,0.0,0.0,0.0,0.0,0.0
579.9999,2.82,0.06635,2.0,0.0,0.0,0.0,0.0,0.0
589.9999,2.68667,0.09332,2.0,0.0,0.0,0.0,0.0,0.0
599.9999,2.63333,0.0464,2.0,0.0,0.0,0.0,0.0,0.0
609.9999,2.54667,0.023180000000000003,2.0,0.0,0.0,0.0,0.0,0.0
619.9999,2.46,0.09124,2.0,0.0,0.0,0.0,0.0,0.0
629.9999,2.55333,0.12908,2.0,0.0,0.0,0.0,0.0,0.0
639.9999,2.68667,0.05792000000000001,2.0,0.0,0.0,0.0,0.0,0.0
649.9999,2.91333,0.05715,2.0,0.0,0.0,0.0,0.0,0.0
659.9999,2.72667,0.07115,2.0,0.0,0.0,0.0,0.0,0.0
669.9999,2.79333,0.06773,2.0,0.0,0.0,0.0,0.0,0.0
679.9999,2.81333,0.08674,2.0,0.0,0.0,0.0,0.0,0.0
689.9999,2.71333,0.1093,2.0,0.0,0.0,0.0,0.0,0.0
699.9999,2.67333,0.11837,2.0,0.0,0.0,0.0,0.0,0.0
709.9999,2.94,0.09474,2.0,0.0,0.0,0.0,0.0,0.0
719.9999,2.75333,0.05741,2.0,0.0,0.0,0.0,0.0,0.0
729.9999,2.62,0.01601,2.0,0.0,0.0,0.0,0.0,0.0
739.9999,2.66667,0.06477999999999999,2.0,0.0,0.0,0.0,0.0,0.0
749.9999,2.69333,0.05849,2.0,0.0,0.0,0.0,0.0,0.0
759.9999,2.77333,0.04633,2.0,0.0,0.0,0.0,0.0,0.0
