#step,cat_index,cat,V 
783,2,Crystal,5
784,2,Crystal,5
785,2,Crystal,5
786,2,Crystal,5
787,2,Crystal,5
788,2,Crystal,5
789,2,Crystal,5
790,2,Crystal,5
791,2,Crystal,5
792,2,Crystal,5
793,2,Crystal,5
794,2,Crystal,5
795,2,Crystal,5
796,2,Crystal,5
797,2,Crystal,5
798,2,Crystal,5
799,2,Crystal,5
800,2,Crystal,5
801,2,Crystal,5
802,2,Crystal,5
803,2,Crystal,5
804,2,Crystal,5
805,2,Crystal,5
806,2,Crystal,5
807,2,Crystal,5
808,2,Crystal,5
809,2,Crystal,5
810,2,Crystal,5
811,2,Crystal,5
812,2,Crystal,5
813,2,Crystal,5
814,2,Crystal,5
815,2,Crystal,5
816,2,Crystal,5
817,2,Crystal,5
818,2,Crystal,5
819,2,Crystal,5
820,2,Crystal,5
821,2,Crystal,5
822,2,Crystal,5
823,2,Crystal,5
824,2,Crystal,5
825,2,Crystal,5
826,2,Crystal,5
827,2,Crystal,5
828,2,Crystal,5
829,2,Crystal,5
830,2,Crystal,5
831,2,Crystal,5
832,2,Crystal,5
833,2,Crystal,5
834,2,Crystal,5
835,2,Crystal,5
836,2,Crystal,5
837,2,Crystal,5
838,2,Crystal,5
839,2,Crystal,5
840,2,Crystal,5
841,2,Crystal,5
842,2,Crystal,5
843,2,Crystal,5
844,2,Crystal,5
845,2,Crystal,5
846,2,Crystal,5
847,2,Crystal,5
848,2,Crystal,5
849,2,Crystal,5
850,2,Crystal,5
851,2,Crystal,5
852,2,Crystal,5
853,2,Crystal,5
854,2,Crystal,5
855,2,Crystal,5
856,2,Crystal,5
857,2,Crystal,5
858,2,Crystal,5
859,2,Crystal,5
860,2,Crystal,5
861,2,Crystal,5
862,2,Crystal,5
863,2,Crystal,5
864,2,Crystal,5
865,2,Crystal,5
866,2,Crystal,5
867,2,Crystal,5
868,2,Crystal,5
869,2,Crystal,5
870,2,Crystal,5
871,2,Crystal,5
872,2,Crystal,5
873,2,Crystal,5
874,2,Crystal,5
875,2,Crystal,5
876,2,Crystal,5
877,2,Crystal,5
878,2,Crystal,5
879,2,Crystal,5
880,2,Crystal,5
881,2,Crystal,5
882,2,Crystal,5
883,2,Crystal,5
884,2,Crystal,5
885,2,Crystal,5
886,2,Crystal,5
887,2,Crystal,5
888,2,Crystal,5
889,2,Crystal,5
890,2,Crystal,5
891,2,Crystal,5
892,2,Crystal,5
893,2,Crystal,5
894,2,Crystal,5
895,2,Crystal,5
896,2,Crystal,5
897,2,Crystal,5
898,2,Crystal,5
899,2,Crystal,5
900,2,Crystal,5
901,2,Crystal,5
902,2,Crystal,5
903,2,Crystal,5
904,2,Crystal,5
905,2,Crystal,5
906,2,Crystal,5
907,2,Crystal,5
908,2,Crystal,5
909,2,Crystal,5
910,2,Crystal,5
911,2,Crystal,5
912,2,Crystal,5
913,2,Crystal,5
914,2,Crystal,5
915,2,Crystal,5
916,2,Crystal,5
917,2,Crystal,5
918,2,Crystal,5
919,2,Crystal,5
920,2,Crystal,5
921,2,Crystal,5
922,2,Crystal,5
923,2,Crystal,5
924,2,Crystal,5
925,2,Crystal,5
926,2,Crystal,5
927,2,Crystal,5
928,2,Crystal,5
929,2,Crystal,5
930,2,Crystal,5
931,2,Crystal,5
932,2,Crystal,5
933,2,Crystal,5
934,2,Crystal,5
935,2,Crystal,5
936,2,Crystal,5
937,2,Crystal,5
938,2,Crystal,5
939,2,Crystal,5
940,2,Crystal,5
941,2,Crystal,5
942,2,Crystal,5
943,2,Crystal,5
944,2,Crystal,5
945,2,Crystal,5
946,2,Crystal,5
947,2,Crystal,5
948,2,Crystal,5
949,2,Crystal,5
950,2,Crystal,5
951,2,Crystal,5
952,2,Crystal,5
953,2,Crystal,5
954,2,Crystal,5
955,2,Crystal,5
956,2,Crystal,5
957,2,Crystal,5
958,2,Crystal,5
959,2,Crystal,5
960,2,Crystal,5
961,2,Crystal,5
962,2,Crystal,5
963,2,Crystal,5
964,2,Crystal,5
965,2,Crystal,5
966,2,Crystal,5
967,2,Crystal,5
968,2,Crystal,5
969,2,Crystal,5
970,2,Crystal,5
971,2,Crystal,5
972,2,Crystal,5
973,2,Crystal,5
974,2,Crystal,5
975,2,Crystal,5
976,2,Crystal,5
977,2,Crystal,5
978,2,Crystal,5
979,2,Crystal,5
980,2,Crystal,5
981,2,Crystal,5
982,2,Crystal,5
983,2,Crystal,5
984,2,Crystal,5
985,2,Crystal,5
986,2,Crystal,5
987,2,Crystal,5
988,2,Crystal,5
989,2,Crystal,5
990,2,Crystal,5
991,2,Crystal,5
992,2,Crystal,5
993,2,Crystal,5
994,2,Crystal,5
995,2,Crystal,5
996,2,Crystal,5
997,2,Crystal,5
998,2,Crystal,5
999,2,Crystal,5
