Time,C6_avg,psi6,V,S_cnn,S_param,Path,Step
559.9999,4.07333,0.15339,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,56
569.9999,4.2333300000000005,0.17404,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,57
589.9999,4.22667,0.2367,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,59
609.9999,5.21333,0.32938,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,61
659.9999,5.22,0.29961,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,66
699.9999,5.3,0.33026,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,70
719.9999,5.24667,0.32471,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,72
729.9999,5.25333,0.33506,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,73
789.9999,4.40667,0.29021,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,79
799.9999,4.49333,0.31343000000000004,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,80
809.9999,4.18,0.25594,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,81
819.9999,4.15333,0.27127,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,82
829.9999,4.08,0.25389,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,83
969.9999,4.08,0.34823000000000004,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T2,97
149.9999,4.44667,0.2205,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,15
169.9999,4.26667,0.21301,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,17
189.9999,5.15333,0.2444,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,19
209.9999,5.16667,0.24938,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,21
249.9999,4.30667,0.13510999999999998,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,25
259.9999,4.28667,0.12629,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,26
269.9999,4.22667,0.11469,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,27
309.9999,5.20667,0.16067,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,31
359.9999,5.19333,0.03925,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,36
379.9999,5.29333,0.05219,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,38
389.9999,5.22667,0.0631,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,39
409.9999,5.26,0.07209,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,41
449.9999,4.7,0.05028,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,45
459.9999,4.38,0.09134,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,46
469.9999,4.26,0.11935,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,47
479.9999,5.25333,0.07067999999999999,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,48
499.9999,5.26,0.07846,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,50
539.9999,4.3533300000000015,0.06242,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,54
549.9999,4.4,0.02807,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,55
569.9999,5.28667,0.09554,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,57
589.9999,5.25333,0.08072,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,59
619.9999,5.26,0.06832,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,62
649.9999,5.2333300000000005,0.03954,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,65
679.9999,5.17333,0.04059,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,68
789.9999,4.50667,0.01715,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,79
799.9999,4.2,0.053370000000000015,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,80
809.9999,4.04,0.03932,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,81
899.9999,4.28,0.062429999999999986,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,90
919.9999,5.26667,0.03318,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T5,92
599.9999,5.2333300000000005,0.23881,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T4,6
999.9999,5.36,0.91193,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T4,10
399.9999,4.21333,0.58353,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T9,4
799.9999,3.97333,0.19823,3.0,1.0,0.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T9,8
199.9999,5.28,0.68255,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T6,2
299.9999,5.486669999999998,0.97583,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T6,3
399.9999,4.29333,0.6233,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T6,4
499.9999,5.52,0.99427,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T6,5
599.9999,4.16667,0.52175,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T6,6
699.9999,5.50667,0.99447,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T6,7
799.9999,4.38667,0.6038899999999999,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T6,8
199.9999,4.16667,0.16079000000000002,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T3,2
399.9999,4.3133300000000006,0.49334,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T3,4
699.9999,5.54667,0.99134,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T3,7
799.9999,5.55333,0.9928,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T3,8
399.9999,4.05333,0.30854000000000004,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T1,4
799.9999,4.33333,0.40181,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T1,8
99.9999,5.54,0.99555,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T2,1
199.9999,4.4333300000000015,0.63337,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T2,2
399.9999,5.54,0.99411,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T2,4
499.9999,4.3533300000000015,0.5865,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T2,5
599.9999,5.54,0.99152,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T2,6
699.9999,4.56,0.63554,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T2,7
799.9999,4.92667,0.68576,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T2,8
99.9999,5.54,0.99555,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T8,1
199.9999,4.4333300000000015,0.63337,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T8,2
499.9999,5.53333,0.99009,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T8,5
899.9999,5.3133300000000006,0.77369,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T8,9
999.9999,4.30667,0.45695,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T8,10
199.9999,5.28,0.68255,4.0,2.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T5,2
699.9999,5.50667,0.9940000000000001,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/100s/T5,7
79.9999,5.42667,0.92582,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/5s/T1,16
189.9999,5.5,0.96976,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,19
199.9999,5.53333,0.99633,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,20
219.9999,5.53333,0.99437,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,22
299.9999,5.53333,0.99561,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,30
309.9999,5.53333,0.99436,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,31
359.9999,5.53333,0.99473,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,36
559.9999,5.53333,0.99464,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,56
579.9999,5.53333,0.99579,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,58
679.9999,5.53333,0.99556,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,68
709.9999,5.53333,0.9964,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,71
769.9999,5.53333,0.99479,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,77
789.9999,5.53333,0.99486,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,79
809.9999,5.53333,0.99599,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,81
819.9999,5.53333,0.99434,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,82
829.9999,5.53333,0.99237,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,83
839.9999,5.53333,0.99629,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,84
869.9999,5.53333,0.99382,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,87
959.9999,5.53333,0.99172,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,96
969.9999,5.53333,0.99541,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,97
979.9999,5.526669999999998,0.99319,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,98
989.9999,5.52,0.98789,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,99
999.9999,5.54,0.99492,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T10,100
209.9999,5.473330000000002,0.93982,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,21
219.9999,5.486669999999998,0.95521,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,22
229.9999,5.48,0.96915,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,23
239.9999,5.55333,0.99111,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,24
249.9999,5.57333,0.99292,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,25
259.9999,5.57333,0.99313,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,26
269.9999,5.57333,0.99535,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,27
279.9999,5.57333,0.99674,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,28
289.9999,5.57333,0.99606,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,29
299.9999,5.57333,0.99492,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,30
309.9999,5.57333,0.99433,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,31
319.9999,5.57333,0.99657,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,32
329.9999,5.57333,0.99582,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,33
339.9999,5.57333,0.99188,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,34
349.9999,5.57333,0.99635,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,35
359.9999,5.57333,0.9949,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,36
369.9999,5.57333,0.99535,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,37
379.9999,5.57333,0.99488,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,38
389.9999,5.57333,0.99626,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/V4/10s/T4,39
