,S-1,S-2,S-3,S-4,V
308,0.0,0.0,0.0,0.0,2.0
309,0.0,0.0,0.0,0.0,2.0
310,0.0,0.0,0.0,0.0,2.0
311,0.0,0.0,0.0,0.0,2.0
312,0.0,0.0,0.0,0.0,2.0
313,0.0,0.0,0.0,0.0,2.0
314,0.0,0.0,0.0,0.0,2.0
315,0.0,0.0,0.0,0.0,2.0
316,0.0,0.0,0.0,0.0,2.0
317,0.0,0.0,0.0,0.0,1.0
318,0.0,0.0,0.0,0.0,1.0
319,0.0,0.0,0.0,0.0,1.0
320,0.0,0.0,0.0,0.0,1.0
321,0.0,0.0,0.0,0.0,1.0
322,0.0,0.0,0.0,0.0,1.0
323,0.0,0.0,0.0,0.0,1.0
324,0.0,0.0,0.0,0.0,1.0
325,0.0,0.0,0.0,0.0,1.0
326,0.0,0.0,0.0,0.0,1.0
327,0.0,0.0,0.0,0.0,1.0
328,0.0,0.0,0.0,0.0,1.0
329,0.0,0.0,0.0,0.0,1.0
330,0.0,0.0,0.0,0.0,1.0
331,0.0,0.0,0.0,0.0,1.0
332,0.0,0.0,0.0,0.0,1.0
333,0.0,0.0,0.0,0.0,1.0
334,0.0,0.0,0.0,0.0,1.0
335,0.0,0.0,0.0,0.0,1.0
336,0.0,0.0,0.0,0.0,1.0
337,0.0,0.0,0.0,0.0,1.0
338,0.0,0.0,0.0,0.0,1.0
339,0.0,0.0,0.0,0.0,1.0
340,0.0,0.0,0.0,0.0,1.0
341,0.0,0.0,0.0,0.0,1.0
342,0.0,0.0,0.0,0.0,1.0
343,0.0,0.0,0.0,0.0,1.0
344,0.0,0.0,0.0,0.0,1.0
345,0.0,0.0,0.0,0.0,1.0
346,0.0,0.0,0.0,0.0,1.0
347,0.0,0.0,0.0,0.0,1.0
348,0.0,0.0,0.0,0.0,1.0
349,0.0,0.0,0.0,0.0,1.0
350,0.0,0.0,0.0,0.0,1.0
351,0.0,0.0,0.0,0.0,1.0
352,0.0,0.0,0.0,0.0,1.0
353,0.0,0.0,0.0,0.0,1.0
354,1.0,1.0,1.0,1.0,4.0
355,1.0,1.0,1.0,1.0,4.0
356,1.0,1.0,1.0,1.0,4.0
357,1.0,1.0,1.0,1.0,4.0
358,1.0,1.0,1.0,1.0,4.0
359,1.0,1.0,1.0,1.0,4.0
360,1.0,1.0,1.0,1.0,4.0
361,2.0,1.0,1.0,1.0,4.0
362,2.0,2.0,1.0,1.0,4.0
363,2.0,2.0,2.0,1.0,4.0
364,2.0,2.0,2.0,2.0,4.0
365,2.0,2.0,2.0,2.0,4.0
366,2.0,2.0,2.0,2.0,4.0
367,2.0,2.0,2.0,2.0,4.0
368,2.0,2.0,2.0,2.0,4.0
369,2.0,2.0,2.0,2.0,4.0
370,2.0,2.0,2.0,2.0,4.0
371,2.0,2.0,2.0,2.0,4.0
372,2.0,2.0,2.0,2.0,4.0
373,2.0,2.0,2.0,2.0,4.0
374,2.0,2.0,2.0,2.0,4.0
375,2.0,2.0,2.0,2.0,4.0
376,2.0,2.0,2.0,2.0,4.0
377,2.0,2.0,2.0,2.0,4.0
378,2.0,2.0,2.0,2.0,4.0
379,2.0,2.0,2.0,2.0,4.0
380,2.0,2.0,2.0,2.0,4.0
381,2.0,2.0,2.0,2.0,4.0
382,2.0,2.0,2.0,2.0,4.0
383,2.0,2.0,2.0,2.0,4.0
384,2.0,2.0,2.0,2.0,4.0
385,2.0,2.0,2.0,2.0,4.0
386,2.0,2.0,2.0,2.0,4.0
387,2.0,2.0,2.0,2.0,4.0
388,2.0,2.0,2.0,2.0,4.0
389,2.0,2.0,2.0,2.0,4.0
390,2.0,2.0,2.0,2.0,4.0
391,2.0,2.0,2.0,2.0,4.0
392,2.0,2.0,2.0,2.0,4.0
393,2.0,2.0,2.0,2.0,4.0
394,2.0,2.0,2.0,2.0,4.0
395,2.0,2.0,2.0,2.0,4.0
396,2.0,2.0,2.0,2.0,4.0
397,2.0,2.0,2.0,2.0,4.0
398,2.0,2.0,2.0,2.0,4.0
399,2.0,2.0,2.0,2.0,4.0
400,2.0,2.0,2.0,2.0,4.0
401,2.0,2.0,2.0,2.0,4.0
402,2.0,2.0,2.0,2.0,4.0
403,2.0,2.0,2.0,2.0,4.0
404,2.0,2.0,2.0,2.0,4.0
405,2.0,2.0,2.0,2.0,4.0
406,2.0,2.0,2.0,2.0,4.0
407,2.0,2.0,2.0,2.0,4.0
408,2.0,2.0,2.0,2.0,4.0
409,2.0,2.0,2.0,2.0,4.0
410,2.0,2.0,2.0,2.0,4.0
411,2.0,2.0,2.0,2.0,4.0
412,2.0,2.0,2.0,2.0,4.0
